list,datetime,ST1PM2.5,ST2PM2.5,ST3PM2.5,ST4PM2.5,ST5PM2.5,ST6PM2.5,ST7PM2.5
1,1/1/2022  12:00:00 AM,7.2,5.5,6.1,6.1,6.7,6.3,6.6
2,1/1/2022  1:00:00 AM,6.2,5.4,5.9,4.7,4.9,4.7,2.3
3,1/1/2022  2:00:00 AM,6.0,5.7,5.5,4.7,4.7,4.7,2.2
4,1/1/2022  3:00:00 AM,6.1,6.0,5.8,4.9,4.8,4.9,2.3
5,1/1/2022  4:00:00 AM,7.2,8.6,6.9,6.4,5.8,6.4,2.8
6,1/1/2022  5:00:00 AM,9.1,9.2,8.0,7.2,7.1,7.3,3.4
7,1/1/2022  6:00:00 AM,11.7,8.5,11.7,8.5,9.2,8.3,4.2
8,1/1/2022  7:00:00 AM,15.6,14.1,11.9,11.1,11.7,11.7,5.5
9,1/1/2022  8:00:00 AM,9.8,9.0,8.7,7.4,7.6,7.6,3.6
10,1/1/2022  9:00:00 AM,8.2,7.3,7.3,6.1,6.3,6.2,3.0
11,1/1/2022  10:00:00 AM,8.1,8.1,7.6,6.5,6.4,6.5,3.0
12,1/1/2022  11:00:00 AM,6.8,6.5,6.5,5.4,5.4,5.4,2.5
13,1/1/2022  12:00:00 PM,5.5,5.3,5.2,4.3,4.3,4.4,2.0
14,1/1/2022  1:00:00 PM,5.6,5.3,5.3,4.4,4.4,4.5,2.1
15,1/1/2022  2:00:00 PM,5.8,5.5,5.4,4.5,4.5,4.5,2.1
16,1/1/2022  3:00:00 PM,6.2,5.9,5.8,4.9,4.9,4.9,2.3
17,1/1/2022  4:00:00 PM,6.6,6.3,6.2,5.2,5.2,5.2,2.4
18,1/1/2022  5:00:00 PM,7.0,6.8,6.7,5.6,5.6,5.6,2.6
19,1/1/2022  6:00:00 PM,7.7,7.5,7.4,6.2,6.1,6.2,2.9
20,1/1/2022  7:00:00 PM,9.7,12.6,9.2,8.9,7.9,9.0,3.9
21,1/1/2022  8:00:00 PM,11.5,8.9,11.0,8.4,9.0,8.4,4.1
22,1/1/2022  9:00:00 PM,11.0,8.4,8.9,7.4,8.2,7.7,3.8
23,1/1/2022  10:00:00 PM,9.5,8.5,8.1,7.1,7.3,7.2,3.4
24,1/1/2022  11:00:00 PM,9.9,9.1,8.7,7.5,7.7,7.6,3.6
25,1/2/2022  12:00:00 AM,10.2,9.8,9.7,8.1,8.1,8.1,3.8
26,1/2/2022  1:00:00 AM,12.6,10.7,11.2,9.2,9.7,9.4,4.5
27,1/2/2022  2:00:00 AM,10.9,12.7,10.1,9.4,8.8,9.5,4.2
28,1/2/2022  3:00:00 AM,11.6,12.6,11.0,9.7,9.3,9.8,4.4
29,1/2/2022  4:00:00 AM,16.3,11.4,15.4,11.4,12.5,11.4,5.7
30,1/2/2022  5:00:00 AM,15.8,12.3,14.3,11.3,12.2,11.4,5.6
31,1/2/2022  6:00:00 AM,14.6,20.5,13.8,13.9,12.0,14.0,5.9
32,1/2/2022  7:00:00 AM,21.6,21.8,21.3,17.8,17.3,17.7,8.2
33,1/2/2022  8:00:00 AM,18.5,17.4,16.7,14.3,14.4,14.5,6.8
34,1/2/2022  9:00:00 AM,11.6,9.6,9.9,8.3,8.9,8.5,4.1
35,1/2/2022  10:00:00 AM,9.0,8.7,8.5,7.2,7.1,7.2,3.3
36,1/2/2022  11:00:00 AM,8.1,7.8,7.5,6.4,6.4,6.4,3.0
37,1/2/2022  12:00:00 PM,7.0,6.8,6.5,5.5,5.5,5.6,2.6
38,1/2/2022  1:00:00 PM,7.2,6.8,6.8,5.6,5.7,5.7,2.7
39,1/2/2022  2:00:00 PM,7.1,7.2,6.7,5.8,5.6,5.8,2.7
40,1/2/2022  3:00:00 PM,6.6,6.2,6.3,5.2,5.2,5.2,2.4
41,1/2/2022  4:00:00 PM,7.3,7.1,7.1,5.9,5.8,5.8,2.7
42,1/2/2022  5:00:00 PM,7.9,8.9,11.3,8.0,7.0,7.2,3.3
43,1/2/2022  6:00:00 PM,11.5,13.9,11.5,10.4,9.4,10.3,4.6
44,1/2/2022  7:00:00 PM,11.9,17.2,11.4,11.6,9.8,11.6,4.9
45,1/2/2022  8:00:00 PM,12.8,14.4,13.7,11.4,10.5,11.1,5.0
46,1/2/2022  9:00:00 PM,13.9,15.5,14.0,12.1,11.3,12.0,5.4
47,1/2/2022  10:00:00 PM,15.6,15.6,14.5,12.5,12.3,12.6,5.8
48,1/2/2022  11:00:00 PM,17.1,15.9,17.1,13.7,13.6,13.5,6.4
49,1/3/2022  12:00:00 AM,18.1,14.1,17.8,13.4,14.2,13.3,6.5
50,1/3/2022  1:00:00 AM,22.5,19.6,19.6,16.6,17.3,16.9,8.1
51,1/3/2022  2:00:00 AM,22.3,25.6,22.2,19.6,18.1,19.5,8.7
52,1/3/2022  3:00:00 AM,24.1,22.0,22.7,18.7,18.9,18.7,8.8
53,1/3/2022  4:00:00 AM,22.1,21.9,21.0,17.8,17.5,17.9,8.3
54,1/3/2022  5:00:00 AM,23.0,18.7,23.6,17.6,18.2,17.2,8.4
55,1/3/2022  6:00:00 AM,20.3,24.9,20.5,18.5,16.7,18.3,8.1
56,1/3/2022  7:00:00 AM,18.8,26.4,25.6,20.5,16.9,19.0,8.3
57,1/3/2022  8:00:00 AM,25.3,12.1,18.0,13.7,18.1,14.8,8.0
58,1/3/2022  9:00:00 AM,8.5,8.1,7.9,6.7,6.7,6.7,3.1
59,1/3/2022  10:00:00 AM,6.4,8.2,6.0,5.8,5.2,5.9,2.5
60,1/3/2022  11:00:00 AM,5.4,5.2,5.0,4.3,4.3,4.3,2.0
61,1/3/2022  12:00:00 PM,4.7,4.6,4.4,3.7,3.7,3.7,1.7
62,1/3/2022  1:00:00 PM,4.5,4.6,4.4,3.7,3.6,3.7,1.7
63,1/3/2022  2:00:00 PM,4.7,4.7,4.5,3.8,3.7,3.8,1.8
64,1/3/2022  3:00:00 PM,5.0,5.1,5.0,4.2,4.0,4.1,1.9
65,1/3/2022  4:00:00 PM,5.7,5.6,5.5,4.6,4.5,4.6,2.1
66,1/3/2022  5:00:00 PM,7.2,6.5,7.0,5.6,5.7,5.6,2.6
67,1/3/2022  6:00:00 PM,8.1,15.1,7.9,9.2,7.0,9.2,3.6
68,1/3/2022  7:00:00 PM,7.9,7.1,7.5,6.1,6.2,6.1,2.9
69,1/3/2022  8:00:00 PM,8.2,7.9,7.7,6.5,6.5,6.5,3.0
70,1/3/2022  9:00:00 PM,10.3,9.7,9.4,8.0,8.0,8.1,3.8
71,1/3/2022  10:00:00 PM,11.1,9.9,10.1,8.4,8.6,8.5,4.0
72,1/3/2022  11:00:00 PM,11.2,10.4,10.7,8.8,8.8,8.8,4.1
73,1/4/2022  12:00:00 AM,11.1,10.1,10.6,8.6,8.7,8.6,4.1
74,1/4/2022  1:00:00 AM,10.6,10.0,10.0,8.4,8.4,8.4,3.9
75,1/4/2022  2:00:00 AM,11.1,9.4,10.3,8.3,8.6,8.3,4.0
76,1/4/2022  3:00:00 AM,10.8,9.1,10.0,8.0,8.4,8.1,3.9
77,1/4/2022  4:00:00 AM,10.8,9.5,10.6,8.3,8.5,8.3,4.0
78,1/4/2022  5:00:00 AM,11.5,12.5,11.6,9.9,9.3,9.8,4.4
79,1/4/2022  6:00:00 AM,15.1,16.5,14.3,12.7,12.0,12.7,5.8
80,1/4/2022  7:00:00 AM,16.0,16.6,15.0,13.1,12.7,13.2,6.0
81,1/4/2022  8:00:00 AM,23.8,19.0,21.7,17.2,18.4,17.4,8.5
82,1/4/2022  9:00:00 AM,22.8,17.0,20.0,15.8,17.4,16.1,8.0
83,1/4/2022  10:00:00 AM,16.7,15.9,15.6,13.1,13.2,13.2,6.2
84,1/4/2022  11:00:00 AM,14.8,15.6,14.4,12.4,11.8,12.3,5.6
85,1/4/2022  12:00:00 PM,14.3,13.8,13.2,11.2,11.2,11.3,5.3
86,1/4/2022  1:00:00 PM,10.2,9.0,9.9,7.9,8.1,7.9,3.8
87,1/4/2022  2:00:00 PM,9.5,6.6,7.7,6.2,7.1,6.4,3.2
88,1/4/2022  3:00:00 PM,7.5,7.1,5.7,3.6,4.6,5.0,2.2
89,1/4/2022  4:00:00 PM,11.7,6.9,7.6,4.1,6.9,6.3,3.1
90,1/4/2022  5:00:00 PM,7.3,6.0,5.3,3.2,4.5,4.6,2.1
91,1/4/2022  6:00:00 PM,9.9,8.2,7.1,4.3,6.1,6.2,2.8
92,1/4/2022  7:00:00 PM,14.8,12.1,10.6,6.4,9.1,9.2,4.2
93,1/4/2022  8:00:00 PM,14.4,12.0,10.4,6.3,8.8,9.1,4.1
94,1/4/2022  9:00:00 PM,13.8,11.0,9.8,5.9,8.4,8.5,3.9
95,1/4/2022  10:00:00 PM,12.8,10.1,9.1,5.4,7.8,7.8,3.6
96,1/4/2022  11:00:00 PM,12.5,10.0,8.9,5.4,7.6,7.7,3.6
97,1/5/2022  12:00:00 AM,9.2,9.2,7.1,4.6,5.8,6.4,2.8
98,1/5/2022  1:00:00 AM,9.0,9.5,7.1,4.7,5.7,6.4,2.7
99,1/5/2022  2:00:00 AM,10.1,9.5,7.6,4.8,6.2,6.8,3.0
100,1/5/2022  3:00:00 AM,10.5,10.2,8.0,5.1,6.5,7.1,3.1
101,1/5/2022  4:00:00 AM,12.5,10.9,9.2,5.7,7.7,8.0,3.6
