Years,Months,Days,Hour,Datetime,Average of PM2.5,Average of Temp,Average of Humid,Average of WindSpeed
2022,Jan,1-Jan,12 AM,1-Jan 2022 12 AM,7.2,30.6,51.9,0.0
2022,Jan,1-Jan,1 AM,1-Jan 2022 1 AM,6.2,29.9,52.8,0.0
2022,Jan,1-Jan,2 AM,1-Jan 2022 2 AM,6.0,29.2,53.9,0.2
2022,Jan,1-Jan,3 AM,1-Jan 2022 3 AM,6.1,29.1,53.8,0.2
2022,Jan,1-Jan,4 AM,1-Jan 2022 4 AM,7.2,28.2,56.7,0.0
2022,Jan,1-Jan,5 AM,1-Jan 2022 5 AM,9.1,27.5,58.6,0.0
2022,Jan,1-Jan,6 AM,1-Jan 2022 6 AM,11.7,26.6,61.1,0.0
2022,Jan,1-Jan,7 AM,1-Jan 2022 7 AM,15.6,28.7,57.3,0.1
2022,Jan,1-Jan,8 AM,1-Jan 2022 8 AM,9.8,32.5,49.8,0.1
2022,Jan,1-Jan,9 AM,1-Jan 2022 9 AM,8.2,36.2,43.0,0.1
2022,Jan,1-Jan,10 AM,1-Jan 2022 10 AM,8.1,37.6,40.4,0.2
2022,Jan,1-Jan,11 AM,1-Jan 2022 11 AM,6.8,40.1,36.7,0.1
2022,Jan,1-Jan,12 PM,1-Jan 2022 12 PM,5.5,40.5,35.4,0.6
2022,Jan,1-Jan,1 PM,1-Jan 2022 1 PM,5.6,40.0,35.7,1.4
2022,Jan,1-Jan,2 PM,1-Jan 2022 2 PM,5.8,40.2,35.3,1.6
2022,Jan,1-Jan,3 PM,1-Jan 2022 3 PM,6.2,39.7,36.4,1.7
2022,Jan,1-Jan,4 PM,1-Jan 2022 4 PM,6.6,38.4,38.5,1.6
2022,Jan,1-Jan,5 PM,1-Jan 2022 5 PM,7.0,35.7,42.6,1.4
2022,Jan,1-Jan,6 PM,1-Jan 2022 6 PM,7.7,34.6,44.5,1.0
2022,Jan,1-Jan,7 PM,1-Jan 2022 7 PM,9.7,34.3,45.4,0.1
2022,Jan,1-Jan,8 PM,1-Jan 2022 8 PM,11.5,33.0,48.8,0.0
2022,Jan,1-Jan,9 PM,1-Jan 2022 9 PM,11.0,31.8,51.1,0.3
2022,Jan,1-Jan,10 PM,1-Jan 2022 10 PM,9.5,31.7,50.3,0.3
2022,Jan,1-Jan,11 PM,1-Jan 2022 11 PM,9.9,30.9,52.9,0.0
2022,Jan,2-Jan,12 AM,2-Jan 2022 12 AM,10.2,31.0,51.8,0.4
2022,Jan,2-Jan,1 AM,2-Jan 2022 1 AM,12.6,29.6,56.2,0.3
2022,Jan,2-Jan,2 AM,2-Jan 2022 2 AM,10.9,29.5,55.8,0.1
2022,Jan,2-Jan,3 AM,2-Jan 2022 3 AM,11.6,28.6,57.7,0.0
2022,Jan,2-Jan,4 AM,2-Jan 2022 4 AM,16.3,27.8,59.9,0.0
2022,Jan,2-Jan,5 AM,2-Jan 2022 5 AM,15.8,27.0,61.6,0.0
2022,Jan,2-Jan,6 AM,2-Jan 2022 6 AM,14.6,27.1,61.4,0.0
2022,Jan,2-Jan,7 AM,2-Jan 2022 7 AM,21.6,29.2,58.4,0.0
2022,Jan,2-Jan,8 AM,2-Jan 2022 8 AM,18.5,33.3,50.3,0.0
2022,Jan,2-Jan,9 AM,2-Jan 2022 9 AM,11.6,37.5,42.2,0.1
